Station,Element,startDate,endDate,Latitude,Longitude,numObs,maxValue,minValue,meanValue,sumValue,dly_norm_sum,dly_norm_avg,numObs_norm,name
165287,prcp,04/01/2008,05/01/2008,31.05167,-93.27889,0,NA,NA,NA,NA,5.18,0.17,30,LEESVILLE 6 SSW
036174,prcp,04/01/2008,05/01/2008,33.95389,-92.20194,25,2.52,0.00,0.27,6.83,NA,NA,0,RISON
166808,prcp,04/01/2008,05/01/2008,30.96778,-91.10028,28,0.89,0.00,0.13,3.74,NA,NA,0,NORWOOD
348110,prcp,04/01/2008,05/01/2008,35.33833,-96.89306,30,2.76,0.00,0.17,5.13,3.7,0.12,30,SHAWNEE
414077,prcp,04/01/2008,05/01/2008,31.40806,-93.78528,30,1.43,0.00,0.13,3.76,NA,NA,0,HEMPHILL 6 NE
233835,prcp,04/01/2008,05/01/2008,39.24139,-92.50667,30,1.05,0.00,0.18,5.25,NA,NA,0,HIGBEE 4 S
233838,prcp,04/01/2008,05/01/2008,39.07333,-93.70750,30,2.20,0.00,0.23,6.94,NA,NA,0,HIGGINSVILLE
224939,prcp,04/01/2008,05/01/2008,31.67556,-89.12361,30,1.32,0.00,0.13,3.90,5.19,0.17,30,LAUREL
036380,prcp,04/01/2008,05/01/2008,36.45472,-90.14583,30,1.82,0.00,0.19,5.57,5.39,0.18,30,SAINT FRANCIS
140326,prcp,04/01/2008,05/01/2008,37.89667,-98.27111,30,0.85,0.00,0.08,2.43,NA,NA,0,ARLINGTON
235704,prcp,04/01/2008,05/01/2008,36.86194,-93.96194,30,2.87,0.00,0.27,8.01,4.24,0.14,30,MONETT
141239,prcp,04/01/2008,05/01/2008,37.31500,-96.66250,30,1.44,0.00,0.12,3.69,2.93,0.1,30,CAMBRIDGE
411500,prcp,04/01/2008,05/01/2008,32.16139,-94.33972,30,1.79,0.00,0.09,2.85,4.36,0.15,30,CARTHAGE
141233,prcp,04/01/2008,05/01/2008,37.02472,-97.60917,30,1.28,0.00,0.10,2.97,3.3,0.11,30,CALDWELL
220237,prcp,04/01/2008,05/01/2008,34.74972,-90.13361,30,2.11,0.00,0.33,10.05,6.12,0.2,30,ARKABUTLA DAM
032544,prcp,04/01/2008,05/01/2008,33.71639,-94.38139,30,4.09,0.00,0.34,10.27,4.06,0.14,30,FOREMAN
032540,prcp,04/01/2008,05/01/2008,33.82278,-92.39889,30,1.09,0.00,0.23,6.78,4.54,0.15,30,FORDYCE
221962,prcp,04/01/2008,05/01/2008,34.87917,-88.61778,30,1.68,0.00,0.17,5.04,5.23,0.17,30,CORINTH 7 SW
418818,prcp,04/01/2008,05/01/2008,33.17139,-101.79806,30,0.28,0.00,0.01,0.38,1.48,0.05,30,TAHOKA
153398,prcp,04/01/2008,05/01/2008,38.25250,-82.99194,30,1.62,0.00,0.18,5.51,3.45,0.12,30,GRAYSON LAKE
155389,prcp,04/01/2008,05/01/2008,36.60861,-83.71444,30,1.01,0.00,0.12,3.57,3.91,0.13,30,MIDDLESBORO FIRE DEPARTMENT
166938,prcp,04/01/2008,05/01/2008,30.60361,-92.77389,29,1.97,0.00,0.17,5.02,4.79,0.16,30,OBERLIN FIRE TWR
146498,prcp,04/01/2008,05/01/2008,38.64556,-95.56556,30,0.98,0.00,0.10,2.97,3.55,0.12,30,POMONA LAKE
147796,prcp,04/01/2008,05/01/2008,38.21444,-98.20778,30,1.44,0.00,0.12,3.57,2.35,0.08,30,STERLING
401656,prcp,04/01/2008,05/01/2008,35.03111,-85.20139,30,1.17,0.00,0.11,3.22,4.23,0.14,30,CHATTANOOGA LOVELL AP
406977,prcp,04/01/2008,05/01/2008,36.28722,-88.29583,30,3.44,0.00,0.27,8.22,4.73,0.16,30,PARIS 2 SE
141435,prcp,04/01/2008,05/01/2008,38.97222,-97.02389,30,0.80,0.00,0.07,2.21,2.88,0.1,30,CHAPMAN
409481,prcp,04/01/2008,05/01/2008,36.09694,-86.14000,30,0.80,0.00,0.03,0.80,NA,NA,0,WATERTOWN
411433,prcp,04/01/2008,05/01/2008,29.94639,-98.39694,30,1.02,0.00,0.04,1.27,NA,NA,0,CANYON DAM #3
346629,prcp,04/01/2008,05/01/2008,36.12167,-98.31500,30,1.24,0.00,0.08,2.39,2.79,0.09,30,OKEENE
146305,prcp,04/01/2008,05/01/2008,37.43472,-97.39222,30,1.20,0.00,0.10,2.85,2.83,0.09,30,PECK
236493,prcp,04/01/2008,05/01/2008,39.80528,-91.52667,30,2.04,0.00,0.17,5.21,3.51,0.12,30,PALMYRA
032760,prcp,04/01/2008,05/01/2008,35.12778,-91.44889,30,2.50,0.00,0.26,7.75,5.77,0.19,30,GEORGETOWN
349422,prcp,04/01/2008,05/01/2008,35.52000,-98.69861,30,2.73,0.00,0.11,3.21,2.47,0.08,30,WEATHERFORD
227106,prcp,04/01/2008,05/01/2008,34.25111,-89.01667,30,1.26,0.00,0.18,5.43,5.56,0.19,30,PONTOTOC
345713,prcp,04/01/2008,05/01/2008,34.30944,-95.86722,30,2.51,0.00,0.20,6.09,4.62,0.15,30,MCGEE CREEK DAM
160098,prcp,04/01/2008,05/01/2008,31.32056,-92.46111,30,0.93,0.00,0.08,2.54,4.94,0.16,30,ALEXANDRIA
145335,prcp,04/01/2008,05/01/2008,39.35056,-97.45472,30,0.55,0.00,0.08,2.35,2.58,0.09,30,MILTONVALE
415183,prcp,04/01/2008,05/01/2008,33.58694,-102.38278,30,0.24,0.00,0.02,0.47,1.03,0.03,30,LEVELLAND
223441,prcp,04/01/2008,05/01/2008,31.20000,-91.01778,28,2.62,0.00,0.28,7.86,NA,NA,0,GLOSTER
347979,prcp,04/01/2008,05/01/2008,35.03833,-95.95778,30,3.42,0.00,0.16,4.82,NA,NA,0,SCIPIO 1 S
408609,prcp,04/01/2008,05/01/2008,36.03139,-86.12528,19,0.80,0.00,0.16,3.13,4.47,0.15,30,STATESVILLE
419565,prcp,04/01/2008,05/01/2008,34.84222,-100.21028,28,0.85,0.00,0.06,1.71,2.07,0.07,30,WELLINGTON
401720,prcp,04/01/2008,05/01/2008,35.70472,-86.48694,30,1.17,0.00,0.13,3.78,NA,NA,0,CHRISTIANA 5W
342196,prcp,04/01/2008,05/01/2008,34.74222,-97.70389,30,3.62,0.00,0.15,4.49,3.4,0.11,30,COX CITY 2 NE
237632,prcp,04/01/2008,05/01/2008,38.67528,-93.22278,30,1.50,0.00,0.22,6.70,3.92,0.13,30,SEDALIA WTP
231822,prcp,04/01/2008,05/01/2008,40.23944,-94.68333,30,1.07,0.00,0.19,5.76,3.26,0.11,30,CONCEPTION
141057,prcp,04/01/2008,05/01/2008,38.77111,-97.85639,30,1.50,0.00,0.14,4.29,2.54,0.08,30,BROOKVILLE
231283,prcp,04/01/2008,05/01/2008,39.00306,-90.68861,26,0.77,0.00,0.08,2.12,NA,NA,0,CAP AU GRIS L&D 25
418566,prcp,04/01/2008,05/01/2008,33.47917,-100.87611,30,0.65,0.00,0.03,1.01,1.53,0.05,30,SPUR
346751,prcp,04/01/2008,05/01/2008,36.35056,-98.47861,30,1.53,0.00,0.08,2.53,2.55,0.09,30,ORIENTA
231289,prcp,04/01/2008,05/01/2008,37.22528,-89.57056,30,3.65,0.00,0.22,6.61,4.34,0.14,30,CAPE GIRARDEAU MUNI AP
220891,prcp,04/01/2008,05/01/2008,33.27806,-88.79306,30,2.00,0.00,0.12,3.62,5.61,0.19,30,BLUFF LAKE
413329,prcp,04/01/2008,05/01/2008,30.23917,-98.90889,30,0.70,0.00,0.04,1.24,2.4,0.08,30,FREDERICKSBURG
232482,prcp,04/01/2008,05/01/2008,40.16917,-92.16778,30,1.09,0.00,0.16,4.86,3.37,0.11,30,EDINA
415430,prcp,04/01/2008,05/01/2008,29.84028,-97.56722,30,1.06,0.00,0.09,2.61,NA,NA,0,LULING 12 NE
413321,prcp,04/01/2008,05/01/2008,31.03278,-96.48889,30,0.85,0.00,0.04,1.29,3.03,0.1,30,FRANKLIN
417074,prcp,04/01/2008,05/01/2008,33.18694,-102.82806,22,0.00,0.00,0.00,0.00,1.15,0.04,30,PLAINS
415435,prcp,04/01/2008,05/01/2008,30.25028,-94.17861,30,2.66,0.00,0.12,3.68,NA,NA,0,LUMBERTON
419213,prcp,04/01/2008,05/01/2008,32.35417,-95.40250,30,1.14,0.00,0.11,3.23,NA,NA,0,TYLER POUNDS FLD
147093,prcp,04/01/2008,05/01/2008,39.76750,-101.80972,30,0.45,0.00,0.04,1.06,1.73,0.06,30,SAINT FRANCIS
152040,prcp,04/01/2008,05/01/2008,37.65278,-84.77083,30,3.00,0.00,0.20,6.01,3.98,0.13,30,DANVILLE
416636,prcp,04/01/2008,05/01/2008,33.37333,-98.76639,30,0.78,0.00,0.05,1.64,2.54,0.08,30,OLNEY
157677,prcp,04/01/2008,05/01/2008,36.67361,-84.47917,30,1.18,0.00,0.16,4.89,3.65,0.12,30,STEARNS 2 S
419361,prcp,04/01/2008,05/01/2008,28.86083,-97.01806,30,1.20,0.00,0.07,2.09,NA,NA,0,VICTORIA FIRE DEPT #5
238289,prcp,04/01/2008,05/01/2008,40.43444,-95.38833,27,0.95,0.00,0.10,2.59,2.66,0.09,30,TARKIO
168861,prcp,04/01/2008,05/01/2008,30.64361,-89.92389,30,1.29,0.00,0.13,3.87,NA,NA,0,SUN
419364,prcp,04/01/2008,05/01/2008,28.86139,-96.93028,30,1.34,0.00,0.08,2.35,2.97,0.1,30,VICTORIA RGNL AP
419367,prcp,04/01/2008,05/01/2008,28.84389,-96.92139,30,1.48,0.00,0.07,2.16,NA,NA,0,VICTORIA RGNL AP
236038,prcp,04/01/2008,05/01/2008,39.59917,-91.41167,11,0.83,0.09,0.40,4.41,NA,NA,0,NEW LONDON
147305,prcp,04/01/2008,05/01/2008,37.13167,-96.18611,30,2.56,0.00,0.16,4.66,3.59,0.12,30,SEDAN
341256,prcp,04/01/2008,05/01/2008,36.69278,-96.73194,30,3.23,0.00,0.22,6.49,3.63,0.12,30,BURBANK
162812,prcp,04/01/2008,05/01/2008,31.10417,-92.70500,8,1.84,0.00,0.57,4.54,NA,NA,0,ELMER 2 SW
413215,prcp,04/01/2008,05/01/2008,33.87611,-101.24639,30,0.38,0.00,0.01,0.38,1.68,0.06,30,FLOYDADA 9 SE
413214,prcp,04/01/2008,05/01/2008,33.98694,-101.33611,30,1.02,0.00,0.03,1.02,1.58,0.05,30,FLOYDADA
415721,prcp,04/01/2008,05/01/2008,26.56500,-98.12361,1,0.00,0.00,0.00,0.00,1.17,0.04,30,MC COOK
142773,prcp,04/01/2008,05/01/2008,38.24222,-96.92417,30,1.25,0.00,0.10,3.07,2.82,0.09,30,FLORENCE
143686,prcp,04/01/2008,05/01/2008,38.66444,-94.89000,26,1.28,0.00,0.16,4.23,3.6,0.12,30,HILLSDALE LAKE
035831,prcp,04/01/2008,05/01/2008,35.53250,-90.68722,26,2.25,0.00,0.23,5.88,NA,NA,0,POINSETT SP
151631,prcp,04/01/2008,05/01/2008,36.62667,-88.96056,7,1.40,0.10,0.75,5.28,NA,NA,0,CLINTON 4 S
229159,prcp,04/01/2008,05/01/2008,33.97611,-88.88583,0,NA,NA,NA,NA,5.26,0.18,30,VAN VLEET
407369,prcp,04/01/2008,05/01/2008,36.57694,-87.15333,30,3.51,0.00,0.22,6.56,NA,NA,0,PORT ROYAL
143175,prcp,04/01/2008,05/01/2008,38.96056,-100.54833,30,0.78,0.00,0.08,2.38,1.94,0.06,30,GOVE
226308,prcp,04/01/2008,05/01/2008,32.33778,-89.08111,30,0.75,0.00,0.10,3.10,5.93,0.2,30,NEWTON EXP STN
237455,prcp,04/01/2008,05/01/2008,38.75250,-90.37361,30,1.45,0.00,0.13,3.76,3.69,0.12,30,ST LOUIS LAMBERT INTL AP
166968,prcp,04/01/2008,05/01/2008,30.28694,-93.14444,30,0.77,0.00,0.06,1.94,NA,NA,0,OLD TOWN BAY
147271,prcp,04/01/2008,05/01/2008,38.48194,-100.91889,30,0.79,0.00,0.07,2.02,1.7,0.06,30,SCOTT CITY
237452,prcp,04/01/2008,05/01/2008,38.62917,-90.27056,18,1.22,0.00,0.22,3.99,3.82,0.13,30,ST LOUIS SCI CTR
416747,prcp,04/01/2008,05/01/2008,31.52056,-99.92639,25,0.29,0.00,0.02,0.56,1.56,0.05,30,PAINT ROCK
416745,prcp,04/01/2008,05/01/2008,33.87583,-100.38306,30,0.86,0.00,0.04,1.23,NA,NA,0,PADUCAH 10S
416742,prcp,04/01/2008,05/01/2008,33.82278,-100.31306,23,1.14,0.00,0.06,1.35,2.03,0.07,30,PADUCAH 15 S
416740,prcp,04/01/2008,05/01/2008,34.00667,-100.29889,30,0.98,0.00,0.04,1.33,1.92,0.06,30,PADUCAH
411045,prcp,04/01/2008,05/01/2008,31.15889,-96.68250,30,1.22,0.00,0.08,2.39,3.03,0.1,30,BREMOND
340292,prcp,04/01/2008,05/01/2008,34.17139,-97.12944,30,2.10,0.00,0.10,3.00,3.17,0.11,30,ARDMORE
340296,prcp,04/01/2008,05/01/2008,34.30000,-97.01667,25,0.07,0.00,0.00,0.10,NA,NA,0,ARDMORE MUN AP
231467,prcp,04/01/2008,05/01/2008,37.43667,-90.96444,1,2.42,2.42,2.42,2.42,4.77,0.16,30,CENTERVILLE
414679,prcp,04/01/2008,05/01/2008,33.07972,-97.29667,30,2.70,0.00,0.18,5.50,NA,NA,0,JUSTIN
160718,prcp,04/01/2008,05/01/2008,32.69972,-93.66194,30,0.59,0.00,0.07,2.13,NA,NA,0,BENTON 5E
414670,prcp,04/01/2008,05/01/2008,30.44528,-99.80444,26,0.43,0.00,0.03,0.66,1.95,0.07,30,JUNCTION 4 SSW
414671,prcp,04/01/2008,05/01/2008,30.51083,-99.76639,30,0.50,0.00,0.03,0.86,NA,NA,0,JUNCTION KIMBLE CO AP
412458,prcp,04/01/2008,05/01/2008,28.68056,-99.18333,30,0.06,0.00,0.01,0.22,1.73,0.06,30,DILLEY
148503,prcp,04/01/2008,05/01/2008,39.23028,-97.08944,30,0.66,0.00,0.08,2.41,2.76,0.09,30,WAKEFIELD
169930,prcp,04/01/2008,05/01/2008,30.68139,-91.12500,30,0.69,0.00,0.11,3.32,5.56,0.19,30,ZACHARY
147050,prcp,04/01/2008,05/01/2008,38.96056,-101.16667,30,0.44,0.00,0.05,1.44,NA,NA,0,RUSSELL SPRINGS 3N
033361,prcp,04/01/2008,05/01/2008,36.27694,-93.82139,30,3.10,0.00,0.31,9.41,NA,NA,0,HINDSVILLE 10NNE
033360,prcp,04/01/2008,05/01/2008,36.18528,-93.68667,30,4.56,0.00,0.37,10.97,NA,NA,0,HINDSVILLE 10E
142574,prcp,04/01/2008,05/01/2008,38.90667,-97.12000,30,0.84,0.00,0.10,2.93,3.16,0.11,30,ENTERPRISE
148946,prcp,04/01/2008,05/01/2008,38.96667,-98.48889,29,0.67,0.00,0.09,2.67,2.27,0.08,30,WILSON LAKE
417588,prcp,04/01/2008,05/01/2008,32.99639,-96.74278,30,1.40,0.00,0.23,6.77,3.73,0.12,30,RICHARDSON
411246,prcp,04/01/2008,05/01/2008,32.50667,-97.34417,29,1.90,0.00,0.14,3.97,3.19,0.11,30,BURLESON
415859,prcp,04/01/2008,05/01/2008,31.26667,-100.81667,3,0.24,0.02,0.14,0.42,1.52,0.05,30,MERTZON
143223,prcp,04/01/2008,05/01/2008,38.35306,-98.76389,1,0.00,0.00,0.00,0.00,NA,NA,0,GREAT BEND / RIVER
229426,prcp,04/01/2008,05/01/2008,30.29472,-89.38306,30,4.55,0.00,0.28,8.48,5.76,0.19,30,WAVELAND
030814,prcp,04/01/2008,05/01/2008,34.32667,-94.41222,30,3.76,0.00,0.31,9.40,NA,NA,0,BOGG SPRINGS
402600,prcp,04/01/2008,05/01/2008,36.28333,-88.70000,30,3.49,0.00,0.30,8.86,5.09,0.17,30,DRESDEN
030724,prcp,04/01/2008,05/01/2008,34.28722,-93.14444,30,4.25,0.00,0.44,13.33,5.27,0.18,30,BISMARCK 2 SE
343909,prcp,04/01/2008,05/01/2008,36.95444,-96.78000,30,1.92,0.00,0.13,4.00,NA,NA,0,HARDY
031140,prcp,04/01/2008,05/01/2008,33.31111,-92.48500,30,1.53,0.00,0.14,4.18,4.73,0.16,30,CALION L&D
150940,prcp,04/01/2008,05/01/2008,37.49500,-85.15167,30,2.05,0.00,0.16,4.82,4.46,0.15,30,BRADFORDSVILLE
031632,prcp,04/01/2008,05/01/2008,36.41972,-90.58583,30,1.46,0.00,0.23,6.79,4.45,0.15,30,CORNING
416367,prcp,04/01/2008,05/01/2008,31.11667,-98.36667,30,2.99,0.00,0.15,4.36,2.55,0.09,30,NIX STORE 1 W
416368,prcp,04/01/2008,05/01/2008,29.26917,-97.75750,30,3.11,0.00,0.11,3.41,2.91,0.1,30,NIXON
145920,prcp,04/01/2008,05/01/2008,37.81667,-99.56111,30,0.67,0.00,0.07,2.13,2.17,0.07,30,OFFERLE 5 S
145744,prcp,04/01/2008,05/01/2008,38.03444,-97.34306,30,0.90,0.00,0.10,3.02,2.8,0.09,30,NEWTON 2 SW
150381,prcp,04/01/2008,05/01/2008,36.88250,-83.88194,30,1.38,0.00,0.18,5.30,4.15,0.14,30,BARBOURVILLE
145210,prcp,04/01/2008,05/01/2008,38.50389,-95.70333,30,0.92,0.00,0.08,2.54,3.48,0.12,30,MELVERN LAKE
223208,prcp,04/01/2008,05/01/2008,34.26139,-88.45694,30,1.78,0.00,0.17,5.20,5.38,0.18,30,FULTON 3 W
151895,prcp,04/01/2008,05/01/2008,37.83000,-84.03500,30,2.36,0.00,0.16,4.84,NA,NA,0,CRESSY
225897,prcp,04/01/2008,05/01/2008,33.75889,-90.21028,30,1.58,0.00,0.20,5.86,5.63,0.19,30,MINTER CITY
165296,prcp,04/01/2008,05/01/2008,29.78611,-92.20528,30,0.92,0.00,0.05,1.42,4.33,0.14,30,LELAND BOWMAN LOCK
344055,prcp,04/01/2008,05/01/2008,36.09417,-97.83500,30,2.85,0.00,0.13,3.98,3.19,0.11,30,HENNESSEY 4 ESE
344052,prcp,04/01/2008,05/01/2008,34.58278,-97.34639,30,3.15,0.00,0.13,3.85,NA,NA,0,HENNEPIN 5 N
161979,prcp,04/01/2008,05/01/2008,32.16667,-92.10722,30,1.94,0.00,0.10,3.04,5.96,0.2,30,COLUMBIA LOCK
221152,prcp,04/01/2008,05/01/2008,33.99167,-89.37361,30,1.66,0.00,0.22,6.52,5.93,0.2,30,BRUCE 2 W
145692,prcp,04/01/2008,05/01/2008,38.44778,-99.91000,30,1.06,0.00,0.07,2.15,1.98,0.07,30,NESS CITY
414458,prcp,04/01/2008,05/01/2008,30.07722,-99.24278,30,0.60,0.00,0.04,1.32,NA,NA,0,INGRAM #2
231600,prcp,04/01/2008,05/01/2008,39.52528,-91.64500,29,0.83,0.00,0.15,4.25,3.39,0.11,30,CLARENCE CANNON DAM
410268,prcp,04/01/2008,05/01/2008,32.76667,-99.89528,29,2.30,0.00,0.11,3.10,1.94,0.06,30,ANSON
412621,prcp,04/01/2008,05/01/2008,33.80944,-100.51694,30,1.04,0.00,0.04,1.35,1.99,0.07,30,DUMONT
342872,prcp,04/01/2008,05/01/2008,34.61000,-97.42222,5,2.95,0.00,0.71,3.56,NA,NA,0,ELMORE CITY 3 SW
145321,prcp,04/01/2008,05/01/2008,38.58139,-96.01889,30,1.50,0.00,0.11,3.36,NA,NA,0,MILLER 4 SSW
228445,prcp,04/01/2008,05/01/2008,33.43111,-90.91083,30,3.06,0.00,0.27,7.98,5.44,0.18,30,STONEVILLE EXP STN
403465,prcp,04/01/2008,05/01/2008,36.11250,-86.42083,30,1.58,0.00,0.20,6.14,NA,NA,0,GLADEVILLE
348299,prcp,04/01/2008,05/01/2008,34.68667,-98.94833,20,3.60,0.00,0.20,4.05,2.5,0.08,30,SNYDER
167729,prcp,04/01/2008,05/01/2008,31.25417,-91.95917,30,0.82,0.00,0.08,2.34,4.93,0.16,30,RED RIVER LOCK #1
413668,prcp,04/01/2008,05/01/2008,33.12028,-98.56694,30,0.86,0.00,0.09,2.77,2.45,0.08,30,GRAHAM
406742,prcp,04/01/2008,05/01/2008,36.02361,-84.23750,30,1.05,0.00,0.12,3.61,NA,NA,0,OAK RIDGE ASOS
031457,prcp,04/01/2008,05/01/2008,35.53278,-93.40361,30,3.57,0.00,0.29,8.62,4.54,0.15,30,CLARKSVILLE 6 NE
155243,prcp,04/01/2008,05/01/2008,38.68694,-83.78722,9,0.15,0.00,0.03,0.24,3.94,0.13,30,MAYSVILLE SEWAGE PLT
406750,prcp,04/01/2008,05/01/2008,36.00278,-84.24861,30,1.13,0.00,0.14,4.06,4.32,0.14,30,OAK RIDGE ATDD
031459,prcp,04/01/2008,05/01/2008,35.45639,-93.44250,30,2.81,0.00,0.27,8.21,NA,NA,0,CLARKSVILLE 2
405035,prcp,04/01/2008,05/01/2008,36.08389,-85.82583,29,1.24,0.00,0.17,4.91,NA,NA,0,LANCASTER EDGAR EVINS
405210,prcp,04/01/2008,05/01/2008,35.64667,-88.39750,30,2.10,0.00,0.24,7.30,4.53,0.15,30,LEXINGTON
035512,prcp,04/01/2008,05/01/2008,35.51250,-93.86833,30,2.00,0.00,0.31,9.38,NA,NA,0,OZARK 2
035514,prcp,04/01/2008,05/01/2008,35.64500,-93.41917,30,4.28,0.00,0.33,9.96,5.14,0.17,30,OZONE
166836,prcp,04/01/2008,05/01/2008,30.82139,-92.66972,4,1.80,0.93,1.35,5.39,4.6,0.15,30,OAKDALE
231275,prcp,04/01/2008,05/01/2008,40.14333,-91.51583,30,1.68,0.00,0.22,6.54,3.48,0.12,30,CANTON L&D 20
227220,prcp,04/01/2008,05/01/2008,31.17750,-89.41556,30,1.33,0.00,0.14,4.12,5.58,0.19,30,PURVIS 2 N
141202,prcp,04/01/2008,05/01/2008,38.64528,-96.35056,30,0.85,0.00,0.12,3.48,3.2,0.11,30,BUSHONG
036393,prcp,04/01/2008,05/01/2008,35.82361,-93.76722,29,4.33,0.00,0.36,10.31,5.13,0.17,30,ST PAUL
035354,prcp,04/01/2008,05/01/2008,35.78028,-94.41611,30,3.72,0.00,0.32,9.62,4.77,0.16,30,ODELL
415094,prcp,04/01/2008,05/01/2008,33.03528,-96.48611,30,1.29,0.00,0.16,4.72,3.64,0.12,30,LAVON DAM
404987,prcp,04/01/2008,05/01/2008,36.51944,-86.03056,30,2.55,0.00,0.23,6.81,4.34,0.14,30,LAFAYETTE
036403,prcp,04/01/2008,05/01/2008,36.35611,-91.80361,30,3.49,0.00,0.40,11.87,4.4,0.15,30,SALEM
405108,prcp,04/01/2008,05/01/2008,36.22889,-86.31778,29,2.00,0.00,0.24,6.92,4.38,0.15,30,LEBANON
035358,prcp,04/01/2008,05/01/2008,34.60083,-93.76667,30,1.75,0.00,0.23,6.90,4.89,0.16,30,ODEN
141593,prcp,04/01/2008,05/01/2008,39.56389,-97.28806,30,1.18,0.00,0.14,4.16,2.37,0.08,30,CLIFTON
235916,prcp,04/01/2008,05/01/2008,39.13306,-94.06389,17,1.59,0.00,0.35,5.98,NA,NA,0,NAPOLEON
349724,prcp,04/01/2008,05/01/2008,34.94167,-94.70389,30,3.31,0.00,0.20,5.98,NA,NA,0,WISTER
412408,prcp,04/01/2008,05/01/2008,32.96194,-102.82194,30,0.63,0.00,0.02,0.63,0.56,0.02,30,DENVER CITY
345090,prcp,04/01/2008,05/01/2008,35.87806,-99.34333,30,2.04,0.00,0.07,2.25,2.51,0.08,30,LEEDEY
143997,prcp,04/01/2008,05/01/2008,39.66111,-98.34833,30,0.93,0.00,0.11,3.31,2.28,0.08,30,IONIA
342054,prcp,04/01/2008,05/01/2008,34.36222,-97.97361,30,2.32,0.00,0.09,2.62,3.48,0.12,30,COMANCHE
401640,prcp,04/01/2008,05/01/2008,36.17222,-87.18056,30,2.45,0.00,0.27,8.16,NA,NA,0,CHARLOTTE
